# Logfile created on 2022-01-07 16:26:45 +0000 by logger.rb/v1.4.2
[2022-01-07T16:26:45+00:00] INFO: Started Chef Infra Zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2022-01-07T16:26:46+00:00] INFO: *** Chef Infra Client 15.17.4 ***
[2022-01-07T16:26:46+00:00] INFO: Platform: x86_64-linux
[2022-01-07T16:26:46+00:00] INFO: Chef-client pid: 28
[2022-01-07T16:26:47+00:00] INFO: Setting the run_list to ["recipe[gitlab-ee]"] from CLI options
[2022-01-07T16:26:47+00:00] INFO: Run List is [recipe[gitlab-ee]]
[2022-01-07T16:26:47+00:00] INFO: Run List expands to [gitlab-ee]
[2022-01-07T16:26:47+00:00] INFO: Starting Chef Infra Client Run for 10.12.11.2
[2022-01-07T16:26:47+00:00] INFO: Running start handlers
[2022-01-07T16:26:47+00:00] INFO: Start handlers complete.
[2022-01-07T16:26:48+00:00] INFO: Loading cookbooks [gitlab-ee@0.0.1, package@0.1.0, gitlab@0.0.1, consul@0.1.0, patroni@0.1.0, pgbouncer@0.1.0, runit@5.1.3, logrotate@0.1.0, postgresql@0.1.0, redis@0.1.0, monitoring@0.1.0, registry@0.1.0, mattermost@0.1.0, gitaly@0.1.0, praefect@0.1.0, gitlab-kas@0.1.0, gitlab-pages@0.1.0, letsencrypt@0.1.0, nginx@0.1.0, acme@4.1.4, crond@0.1.0]
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo-logcursor_disable.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo_database_migrations.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo-logcursor.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo-secondary_disable.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/default.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo-postgresql_disable.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/attributes/default.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/config.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/libraries/sentinel.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/resources/sentinel_service.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/libraries/sentinel_helper.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/mount_point_check.erb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo-secondary.rb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sentinel.conf.erb in the cache.
[2022-01-07T16:26:48+00:00] INFO: Storing updated cookbooks/gitlab-ee/metadata.rb in the cache.
